127.0.0.1 - - [05/Mar/2023:23:16:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:34 +0700] "GET /ManageStaffVinMart/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:34 +0700] "GET /ManageStaffVinMart/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:43 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:50 +0700] "POST /ManageStaffVinMart/homepage.html HTTP/1.1" 200 19242
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:59 +0700] "POST /ManageStaffVinMart/homepage.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:16:59 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:03 +0700] "POST /ManageStaffVinMart/homepage.html HTTP/1.1" 200 19242
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:42 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:44 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 17804
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:46 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 20538
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:48 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 54181
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:49 +0700] "GET /ManageStaffVinMart/thongbao.html HTTP/1.1" 200 18805
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:51 +0700] "GET /ManageStaffVinMart/starter-kit.html HTTP/1.1" 200 18965
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:17:52 +0700] "GET /ManageStaffVinMart/thongbao.html HTTP/1.1" 200 18805
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:34 +0700] "GET /ManageStaffVinMart/thongbao.html HTTP/1.1" 200 18603
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:37 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 54181
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:38 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 20538
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:39 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 17804
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:40 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:49 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:53 +0700] "GET /ManageStaffVinMart/thongtincanhan.html HTTP/1.1" 200 19160
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:55 +0700] "GET /ManageStaffVinMart/homepage1.html HTTP/1.1" 200 19242
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:56 +0700] "GET /ManageStaffVinMart/thongbao.html HTTP/1.1" 200 18603
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:57 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 54181
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:20:58 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 20538
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:21:02 +0700] "GET /ManageStaffVinMart/homepage1.html HTTP/1.1" 200 19242
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:23:14 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:23:20 +0700] "GET /ManageStaffVinMart/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 887
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:25:35 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:25:48 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
0:0:0:0:0:0:0:1 - - [05/Mar/2023:23:25:50 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 25395
